City	State	lat	lon	Amount
DANBURY	CT	41.394817	-73.4540111	10000.0
DANBURY	CT	41.4	-73.47	2000.0
DANSVILLE	NY	42.56	-77.69	100.0
DARIEN	CT	41.05	-73.47	2000.0
DARIEN	CT	41.0771914	-73.4686858	2000.0
DARIEN	IL	41.7483483	-87.9737943	500.0
DARNESTOWN	MD	39.1034409	-77.2908166	2000.0
DAYTONA BEACH	FL	29.19	-81.05	28500.0
DEERFIELD	IL	42.1711365	-87.8445119	3500.0
DELMONT	PA	40.41	-79.57	500.0
DENVER	CO	39.76	-104.87	12900.0
DES MOINES	IA	41.57	-93.61	1000.0
DETROIT	MI	42.331427	-83.0457538	1000.0
DEVON	PA	40.04	-75.42	3000.0
DEWITTVILLE	NY	42.24	-79.4	1250.0
DOWNERS GROVE	IL	41.8089191	-88.01117459999999	500.0
DRYDEN	NY	42.49	-76.29	9448.0
DUBLIN	CA	37.71	-121.91	2000.0
DUBLIN	OH	40.11	-83.13	5000.0
DUBUQUE	IA	42.5	-90.69	1000.0
DUNDEE	NY	42.52	-76.97	3050.0
DUNKIRK	NY	42.47	-79.33	4550.0
DURHAM	NC	35.9940329	-78.898619	15500.0
EAST AMHERST	NY	43.04	-78.7	1445.0
EAST AURORA	NY	42.76	-78.61	1200.0
EAST CONCORD	NY	42.55	-78.6	300.0
EAST SYRACUSE	NY	43.06	-76.07	500.0
EDEN PRAIRIE	MN	44.84	-93.45	6500.0
EDMOND	OK	35.67	-97.41	1025.0
EDWARDSVILLE	IL	38.8114364	-89.95315699999999	3000.0
ELBA	NY	43.07	-78.18	3100.0
ELLICOTTVILLE	NY	42.27	-78.67	3550.0
ELMIRA	NY	42.08	-76.8	33190.0
ELYRIA	OH	41.37	-82.1	500.0
EXETER	PA	41.32	-75.78	1500.0
FAIRFAX	VA	38.84622359999999	-77.30637329999999	13250.0
FAIRFAX STATION	VA	38.8015452	-77.3254485	1000.0
FAIRFIELD	CT	41.13	-73.28	12600.0
FAIRFIELD	CT	41.1408363	-73.2612615	1000.0
FAIRPORT	NY	43.1	-77.44	17250.0
FAIRWAY	KS	38.9	-94.68	1000.0
FALCONER	NY	42.11	-79.19	825.0
FALLS CHURCH	VA	38.88233400000001	-77.1710914	25200.0
FARGO	ND	46.87	-96.81	2000.0
FARMINGTON	NY	42.95	-77.32	60.0
FAYETTE	NY	42.81	-76.8	1000.0
FAYETTEVILLE	NY	43.02	-76.0	5002.0
FLORHAM PARK	NJ	40.77	-74.39	5000.0
FLOWER MOUND	TX	33.02	-97.09	3000.0
FORESTBURGH	NY	41.54	-74.69	6500.0
FORESTVILLE	NY	42.46	-79.17	900.0
FORT LAUDERDALE	FL	26.14	-80.13	1750.0
FORT MYERS BEACH	FL	26.48	-81.95	500.0
FORT WORTH	TX	32.75	-97.33	4100.0
FRANKLIN	TN	35.92	-86.84	2500.0
FRANKLINVILLE	NY	42.33	-78.45	300.0
FREDERICK	MD	39.41426879999999	-77.4105409	1000.0
FREDONIA	NY	42.44	-79.33	4540.0
FREEVILLE	NY	42.51	-76.34	1450.0
FREWSBURG	NY	42.05	-79.16	100.0
